nameWithOwner,createdAt,stargazerCount,commitCount
ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6373,1
527515025/springBoot,2016-11-07T02:13:31Z,6337,0
gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,6299,8
apache/zeppelin,2015-03-25T07:00:06Z,6251,140
sshahine/JFoenix,2015-09-08T14:04:24Z,6238,0
aa112901/remusic,2016-03-24T06:20:39Z,6216,0
HMCL-dev/HMCL,2015-06-22T08:06:03Z,6211,376
wasabeef/richeditor-android,2015-03-30T16:19:20Z,6191,0
JesusFreke/smali,2012-09-23T19:51:16Z,6184,0
ityouknow/spring-cloud-examples,2017-04-28T08:48:53Z,6180,0
junit-team/junit5,2015-01-11T19:06:10Z,6128,703
ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6127,0
fuzhengwei/itstack-demo-design,2020-05-20T13:45:30Z,6116,6
lightbend/config,2011-12-06T08:02:29Z,6082,5
daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6066,0
amitshekhariitbhu/from-java-to-kotlin,2017-05-21T11:56:27Z,6060,2
pedrovgs/EffectiveAndroidUI,2014-07-04T08:42:20Z,6033,1
graphql-java/graphql-java,2015-07-06T06:52:20Z,6022,973
rey5137/material,2014-12-09T12:07:32Z,6020,0
google/physical-web,2014-09-30T18:32:14Z,6006,0
kestra-io/kestra,2019-08-24T13:56:15Z,5995,1512
google/grafika,2013-12-19T18:36:53Z,5988,0
wyouflf/xUtils3,2015-10-28T10:56:04Z,5980,0
raphw/byte-buddy,2013-11-25T19:38:03Z,5980,342
google/j2objc,2014-01-30T20:19:56Z,5976,243
prolificinteractive/material-calendarview,2015-02-09T22:31:56Z,5909,0
springfox/springfox,2012-05-06T06:38:57Z,5899,0
Genymobile/gnirehtet,2017-02-09T16:01:13Z,5852,2
jeremylong/DependencyCheck,2012-09-03T20:43:30Z,5818,713
Nightonke/BoomMenu,2016-03-19T12:04:12Z,5801,0
confluentinc/ksql,2016-09-27T21:30:15Z,5794,5391
JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5780,0
yarolegovich/DiscreteScrollView,2017-03-03T23:38:54Z,5745,0
Vedenin/useful-java-links,2016-02-13T13:14:52Z,5742,4
springside/springside4,2012-02-23T08:39:03Z,5737,0
hibernate/hibernate-orm,2010-10-04T16:15:52Z,5724,3054
btraceio/btrace,2014-08-28T18:58:24Z,5708,65
dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5705,40
jpush/aurora-imui,2016-12-13T05:24:01Z,5694,0
k0shk0sh/FastHub,2017-02-18T17:53:16Z,5692,0
JakeWharton/u2020,2013-11-14T11:58:23Z,5681,0
AntennaPod/AntennaPod,2012-07-31T10:25:08Z,5672,362
apache/incubator-kie-drools,2011-02-18T08:37:05Z,5671,585
gephi/gephi,2011-10-22T03:14:46Z,5655,623
