nameWithOwner,createdAt,stargazerCount,commitCount
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9486,0
plantuml/plantuml,2010-11-04T15:55:50Z,9469,530
trinodb/trino,2019-01-19T06:38:14Z,9454,6516
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0
resilience4j/resilience4j,2015-06-03T09:21:01Z,9381,42
apple/pkl,2024-01-19T17:28:45Z,9262,136
OpenFeign/feign,2013-06-26T23:28:16Z,9235,354
Justson/AgentWeb,2017-05-12T07:45:56Z,9112,10
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0
android/testing-samples,2014-10-11T03:51:27Z,9093,21
GcsSloop/AndroidNote,2016-01-04T23:51:36Z,9069,0
navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9009,0
ssssssss-team/spider-flow,2020-03-27T11:07:15Z,9003,0
huanghaibin-dev/CalendarView,2017-03-11T07:16:09Z,8950,0
didi/VirtualAPK,2017-06-29T07:25:05Z,8948,0
cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8879,0
nathanmarz/storm,2011-09-17T07:55:13Z,8849,0
awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,8837,1163
laobie/StatusBarUtil,2016-02-15T03:06:06Z,8822,0
signalapp/Signal-Server,2013-12-09T07:10:36Z,8807,964
PaperMC/Paper,2016-01-22T05:40:19Z,8744,1023
zfile-dev/zfile,2019-08-19T13:57:56Z,8729,61
chrisbanes/Android-PullToRefresh,2011-11-29T09:59:56Z,8714,0
firebase/quickstart-android,2016-04-26T17:13:27Z,8705,90
Freelander/Android_Data,2015-04-04T01:37:44Z,8680,0
Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8657,0
KunMinX/Jetpack-MVVM-Best-Practice,2019-10-31T05:21:01Z,8632,51
chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8589,0
json-path/JsonPath,2011-01-24T13:19:19Z,8579,23
facebook/buck,2013-04-17T18:12:18Z,8571,1
ybq/Android-SpinKit,2016-03-20T08:40:51Z,8567,0
SonarSource/sonarqube,2011-01-05T11:05:17Z,8499,2943
junit-team/junit4,2009-01-13T03:41:26Z,8498,6
seven332/EhViewer,2014-05-14T12:03:52Z,8460,0
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1
dropwizard/dropwizard,2011-01-19T19:52:29Z,8447,732
airbnb/epoxy,2016-08-08T23:05:11Z,8440,10
roughike/BottomBar,2016-03-16T01:31:05Z,8424,0
spring-projects/spring-security,2012-01-10T21:50:57Z,8348,2355
provectus/kafka-ui,2019-11-26T15:55:55Z,8348,374
react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,8346,63
apache/shenyu,2018-07-11T08:17:45Z,8264,598
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174
LawnchairLauncher/lawnchair,2017-03-03T13:12:58Z,8240,6572
java-native-access/jna,2011-04-29T13:30:29Z,8230,73
florent37/MaterialViewPager,2015-04-24T17:53:15Z,8165,0
alibaba/atlas,2017-02-28T06:31:43Z,8115,0
checkstyle/checkstyle,2013-08-31T02:05:05Z,8103,1470
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53
guolindev/LitePal,2013-02-20T03:20:07Z,8066,0
Team-xManager/xManager,2021-02-08T11:31:10Z,7986,232
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0
alibaba/otter,2013-08-09T09:31:22Z,7947,2
JakeWharton/hugo,2013-11-25T09:16:40Z,7916,0
HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7869,0
ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7859,0
beemdevelopment/Aegis,2016-08-15T19:10:31Z,7854,154
karatelabs/karate,2017-02-07T15:59:17Z,7811,295
aritraroy/UltimateAndroidReference,2017-04-10T07:28:27Z,7803,0
dropwizard/metrics,2010-02-26T19:44:42Z,7794,381
Tencent/Hippy,2019-11-15T01:55:31Z,7787,754
davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,7770,0
flyway/flyway,2012-12-14T18:43:22Z,7733,41
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7704,1821
conductor-oss/conductor,2023-12-08T06:06:09Z,7645,381
StarRocks/starrocks,2021-09-04T02:29:35Z,7643,8517
facebook/litho,2017-01-27T03:59:11Z,7640,2214
wildfirechat/im-server,2019-01-23T15:21:28Z,7637,114
vipshop/vjtools,2018-05-29T09:07:08Z,7600,0
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1
gedoor/MyBookshelf,2018-06-12T03:48:07Z,7527,0
junixapp/XPopup,2018-12-07T06:16:48Z,7521,14
goldze/MVVMHabit,2017-07-21T10:38:40Z,7502,0
koush/AndroidAsync,2012-08-24T07:27:04Z,7493,0
google/android-classyshark,2015-10-12T13:40:48Z,7465,2
CatVodTVOfficial/TVBoxOSC,2022-06-23T00:40:29Z,7463,0
apache/beam,2016-02-02T08:00:06Z,7454,3798
lecho/hellocharts-android,2014-10-12T09:12:37Z,7423,0
kevin-wayne/algs4,2015-08-31T09:28:49Z,7369,12
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7324,0
flowable/flowable-engine,2016-10-13T07:21:43Z,7323,345
leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7322,0
square/dagger,2012-08-02T23:25:32Z,7314,0
pentaho/pentaho-kettle,2013-10-08T18:27:11Z,7311,454
yuanguangxin/LeetCode,2020-01-11T01:02:02Z,7302,4
Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7289,0
Tencent/Shadow,2019-06-13T10:50:27Z,7278,14
pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7254,0
abel533/Mapper,2014-11-21T11:02:10Z,7247,8
apache/tomcat,2011-10-01T07:00:19Z,7245,1448
crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7237,0
bytedeco/javacv,2014-04-21T13:50:26Z,7237,18
google/closure-compiler,2014-04-16T15:30:36Z,7233,642
Qihoo360/RePlugin,2017-06-08T09:39:09Z,7222,0
google/agera,2015-12-17T13:22:58Z,7208,0
software-mansion/react-native-svg,2016-01-17T14:29:21Z,7204,96
geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7197,0
alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,7171,117
jacoco/jacoco,2012-07-08T21:45:13Z,3998,115
qunarcorp/bistoury,2019-08-01T07:54:25Z,3967,0
rememberber/WePush,2017-06-23T09:03:36Z,3956,367
pqpo/SmartCropper,2017-08-03T11:08:41Z,3950,1
rengwuxian/RxJavaSamples,2016-03-24T13:08:10Z,3947,0
crate/crate,2013-04-10T09:17:16Z,3944,1589
camunda/camunda-bpm-platform,2013-01-03T10:10:31Z,3932,403
pytorch/serve,2019-10-03T03:17:43Z,3931,434
binIoter/GuideView,2016-06-19T08:52:25Z,3924,0
javastacks/spring-boot-best-practice,2018-11-09T06:23:18Z,3911,22
aurelhubert/ahbottomnavigation,2016-03-17T12:17:56Z,3845,0
angryip/ipscan,2011-06-28T20:58:48Z,3839,15
rovo89/XposedInstaller,2012-04-02T20:33:05Z,3833,0
lzyzsd/CircleProgress,2014-10-30T16:14:42Z,3794,0
JavaNoober/BackgroundLibrary,2018-09-09T08:52:45Z,3786,2
roboguice/roboguice,2012-08-12T20:37:19Z,3775,0
sunfusheng/MarqueeView,2016-06-01T06:50:46Z,3759,0
timehop/sticky-headers-recyclerview,2014-10-03T01:57:46Z,3742,0
jetty/jetty.project,2011-07-14T01:11:57Z,3737,2504
mpusher/mpush,2016-04-28T01:43:19Z,3727,0
willowtreeapps/spruce-android,2017-02-23T20:34:18Z,3714,0
Ereza/CustomActivityOnCrash,2014-07-04T19:46:21Z,3706,0
wendux/DSBridge-Android,2017-01-02T11:58:53Z,3705,0
ryanhoo/StylishMusicPlayer,2016-09-13T14:38:32Z,3695,0
CameraKit/blurkit-android,2016-11-06T03:14:58Z,3695,0
yangfuhai/ASimpleCache,2013-07-28T13:50:59Z,3682,0
fishercoder1534/Leetcode,2016-07-31T05:28:15Z,3680,184
awaitility/awaitility,2010-01-22T15:12:52Z,3669,19
oddfar/campus-imaotai,2023-07-07T10:37:13Z,3666,68
vaticle/typedb,2016-07-11T23:59:57Z,3659,328
google/rejoiner,2017-12-06T19:09:53Z,3657,0
litesuits/android-common,2014-05-29T08:08:00Z,3643,0
pingfangushi/screw,2020-06-21T11:37:06Z,3639,1
apache/incubator-heron,2015-09-25T16:09:24Z,3637,14
VaughnVernon/IDDD_Samples,2013-04-08T22:12:57Z,3637,0
liuyubobobo/Play-with-Algorithms,2016-07-05T18:16:22Z,3625,0
ethanhua/Skeleton,2017-07-30T06:42:39Z,3621,0
MovingBlocks/Terasology,2011-03-04T03:49:19Z,3613,80
apache/kylin,2015-01-03T08:00:05Z,3598,508
