nameWithOwner,createdAt,stargazerCount,commitCount,CBO,DIT,LCOM,LOC
flyway/flyway,2012-12-14T18:43:22Z,7733,41,3367,900,30407,597
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0,527,134,114,82
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7704,1821,4425,1223,18566,828
conductor-oss/conductor,2023-12-08T06:06:09Z,7645,381,6217,1049,65107,831
StarRocks/starrocks,2021-09-04T02:29:35Z,7643,8517,49759,10031,834489,6700
facebook/litho,2017-01-27T03:59:11Z,7640,2214,15549,2712,89989,2143
wildfirechat/im-server,2019-01-23T15:21:28Z,7637,114,6143,1431,106382,930
vipshop/vjtools,2018-05-29T09:07:08Z,7600,0,1188,484,9968,380
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1,570,157,791,87
gedoor/MyBookshelf,2018-06-12T03:48:07Z,7527,0,4239,983,39245,670
junixapp/XPopup,2018-12-07T06:16:48Z,7521,14,1435,481,6985,306
goldze/MVVMHabit,2017-07-21T10:38:40Z,7502,0,1143,406,5029,320
koush/AndroidAsync,2012-08-24T07:27:04Z,7493,0,1962,832,10556,544
google/android-classyshark,2015-10-12T13:40:48Z,7465,2,672,271,2173,213
CatVodTVOfficial/TVBoxOSC,2022-06-23T00:40:29Z,7463,0,2224,651,17096,513
apache/beam,2016-02-02T08:00:06Z,7454,3798,114984,23907,284921,15537
lecho/hellocharts-android,2014-10-12T09:12:37Z,7423,0,965,233,6165,154
kevin-wayne/algs4,2015-08-31T09:28:49Z,7369,12,1108,281,12528,276
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152,6493,1639,63590,1323
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7324,0,1836,326,8965,313
flowable/flowable-engine,2016-10-13T07:21:43Z,7323,345,57318,14211,1326390,8836
leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7322,0,164,36,108,32
square/dagger,2012-08-02T23:25:32Z,7314,0,1276,497,2429,405
pentaho/pentaho-kettle,2013-10-08T18:27:11Z,7311,454,64975,13941,876036,11025
yuanguangxin/LeetCode,2020-01-11T01:02:02Z,7302,4,173,141,98,142
Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7289,0,550,132,2480,80
Tencent/Shadow,2019-06-13T10:50:27Z,7278,14,2827,1190,10890,670
pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7254,0,70,20,497,17
abel533/Mapper,2014-11-21T11:02:10Z,7247,8,2207,551,13923,447
apache/tomcat,2011-10-01T07:00:19Z,7245,1448,20482,8033,726283,4612
crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7237,0,278,69,599,56
bytedeco/javacv,2014-04-21T13:50:26Z,7237,18,1355,473,29758,223
google/closure-compiler,2014-04-16T15:30:36Z,7233,642,18626,4206,3332735,2838
Qihoo360/RePlugin,2017-06-08T09:39:09Z,7222,0,2255,644,14451,455
google/agera,2015-12-17T13:22:58Z,7208,0,1835,360,4305,291
software-mansion/react-native-svg,2016-01-17T14:29:21Z,7204,96,1133,431,16479,165
geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7197,0,113,29,185,22
alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,7171,117,866,222,1915,156
jacoco/jacoco,2012-07-08T21:45:13Z,3998,115,3638,1258,11285,886
qunarcorp/bistoury,2019-08-01T07:54:25Z,3967,0,6582,1705,29147,1362
rememberber/WePush,2017-06-23T09:03:36Z,3956,367,1876,431,6922,272
pqpo/SmartCropper,2017-08-03T11:08:41Z,3950,1,75,16,1470,13
rengwuxian/RxJavaSamples,2016-03-24T13:08:10Z,3947,0,241,74,85,54
crate/crate,2013-04-10T09:17:16Z,3944,1589,58297,12768,358191,7805
camunda/camunda-bpm-platform,2013-01-03T10:10:31Z,3932,403,65971,16842,900019,10389
pytorch/serve,2019-10-03T03:17:43Z,3931,434,1307,338,13107,228
binIoter/GuideView,2016-06-19T08:52:25Z,3924,0,131,48,288,36
javastacks/spring-boot-best-practice,2018-11-09T06:23:18Z,3911,22,796,186,527,171
aurelhubert/ahbottomnavigation,2016-03-17T12:17:56Z,3845,0,235,54,2644,47
angryip/ipscan,2011-06-28T20:58:48Z,3839,15,1908,638,1583,384
rovo89/XposedInstaller,2012-04-02T20:33:05Z,3833,0,994,288,1729,204
lzyzsd/CircleProgress,2014-10-30T16:14:42Z,3794,0,144,42,2144,26
JavaNoober/BackgroundLibrary,2018-09-09T08:52:45Z,3786,2,570,144,4067,120
roboguice/roboguice,2012-08-12T20:37:19Z,3775,0,15624,4632,23771,3336
sunfusheng/MarqueeView,2016-06-01T06:50:46Z,3759,0,119,30,120,23
timehop/sticky-headers-recyclerview,2014-10-03T01:57:46Z,3742,0,134,37,94,30
jetty/jetty.project,2011-07-14T01:11:57Z,3737,2504,63764,18760,298919,11466
mpusher/mpush,2016-04-28T01:43:19Z,3727,0,1883,535,9777,399
willowtreeapps/spruce-android,2017-02-23T20:34:18Z,3714,0,593,167,653,123
Ereza/CustomActivityOnCrash,2014-07-04T19:46:21Z,3706,0,81,20,485,16
wendux/DSBridge-Android,2017-01-02T11:58:53Z,3705,0,140,52,751,48
ryanhoo/StylishMusicPlayer,2016-09-13T14:38:32Z,3695,0,975,254,2564,195
CameraKit/blurkit-android,2016-11-06T03:14:58Z,3695,0,61,15,303,11
yangfuhai/ASimpleCache,2013-07-28T13:50:59Z,3682,0,129,42,1117,30
fishercoder1534/Leetcode,2016-07-31T05:28:15Z,3680,184,6913,4376,1326,4375
awaitility/awaitility,2010-01-22T15:12:52Z,3669,19,539,203,2471,171
oddfar/campus-imaotai,2023-07-07T10:37:13Z,3666,68,1382,307,4442,218
vaticle/typedb,2016-07-11T23:59:57Z,3659,328,11939,3552,40366,1290
google/rejoiner,2017-12-06T19:09:53Z,3657,0,867,206,645,132
litesuits/android-common,2014-05-29T08:08:00Z,3643,0,299,106,10570,86
pingfangushi/screw,2020-06-21T11:37:06Z,3639,1,678,184,713,137
apache/incubator-heron,2015-09-25T16:09:24Z,3637,14,9780,2421,35513,1736
VaughnVernon/IDDD_Samples,2013-04-08T22:12:57Z,3637,0,2906,1049,17790,652
liuyubobobo/Play-with-Algorithms,2016-07-05T18:16:22Z,3625,0,376,134,700,134
ethanhua/Skeleton,2017-07-30T06:42:39Z,3621,0,123,41,152,34
MovingBlocks/Terasology,2011-03-04T03:49:19Z,3613,80,17052,4056,70118,2811
apache/kylin,2015-01-03T08:00:05Z,3598,508,30717,6025,558168,4187
tyrantgit/ExplosionField,2015-09-23T11:34:50Z,3597,0,49,15,43,11
geoserver/geoserver,2011-11-10T19:56:06Z,3553,623,84869,21493,508533,11803
